Basin,Country,Description,DateSigned,Signatories,IssueArea
Ruvuma,Mozambique,Exchange of notes constituting an agreement between the United Kingdom and Portugal regarding the boundary between Tanganyika Territory and Mozambique.  Lisbon  May 11  1936-December 28  1937,11/05/1936,Great Britain  Portugal ,Border Issues
Zambezi,Mozambique,Treaty between Great Britain and Portugal  defining their respective spheres of influence in Africa,6/11/1891,Portugal  Great Britain,Border Issues
Zambezi,Mozambique,Exchange of notes constituting an agreement between Her Majesty's government in the United Kingdom of Great Britain and Northern Ireland and the Portuguese government providing for the Portuguese participation in the Shir��� Valley Project,21/01/1953,Great Britain  Portugal ,Flood control/relief  Hydro-power/Hydro-electricity
Zambezi,Mozambique,Agreement between the governments of the Republic of Portugal  the People's Republic of Mozambique and the Republic of South Africa relative to the Cahora Bassa Project,02/05/1984,South Africa  Portugal  Mozambique  People's Republic of,Flood control/relief  Hydro-power/Hydro-electricity
Zambezi,Mozambique,Agreement on the action plan for the environmentally sound management of the common Zambesi River System,28/05/1987,Botswana  Mozambique  Tanzania  Zambia  Zimbabwe,Flood control/relief  Water Quantity
Zambezi,Mozambique,Agreement between South Africa and Portugal relating to hydropower development on the Zambesi River [Untitled],01/04/1967,Portugal  South Africa,Hydro-power/Hydro-electricity
General,Mozambique,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
Incomati,Mozambique,Joint Water Commission terms of reference,01/01/1996,Mozambique  South Africa,Joint Management
Limpopo,Mozambique,Joint Water Commission terms of reference,01/01/1996,Mozambique  South Africa,Joint Management
Maputo,Mozambique,Joint Water Commission terms of reference,01/01/1996,Mozambique  South Africa,Joint Management
Umbeluzi,Mozambique,Joint Water Commission terms of reference,01/01/1996,Mozambique  South Africa,Joint Management
Incomati,Mozambique,Tripartite Interim Agreement between the Republic of Mozambique and the Republic of South Africa and the Kingdom of Swaziland for co-operation on the protection and sustainable utilisation of the water resources of the Incomati and Maputo watercourses,29/08/2002,South Africa  Mozambique  Swaziland,Joint Management
Maputo,Mozambique,Tripartite Interim Agreement between the Republic of Mozambique and the Republic of South Africa and the Kingdom of Swaziland for co-operation on the protection and sustainable utilisation of the water resources of the Incomati and Maputo watercourses,29/08/2002,South Africa  Mozambique  Swaziland,Joint Management
General,Mozambique,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
General,Mozambique,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Incomati,Mozambique,Tripartite permanent technical committee ministerial meeting of ministers responsible for water affairs.,15/02/1991,Mozambique  South Africa  Swaziland,Water Quantity
Incomati,Mozambique,Agreement between the government of the Republic of South Africa  the government of the Kingdom of Swaziland and the government of the People's Republic of Mozambique relative to the establishment of a tripartite permanent technical committee,17/02/1983,Mozanbique  South Africa  Swaziland,Water Quantity
Limpopo,Mozambique,Agreement between the government of the Republic of South Africa  the government of the Kingdom of Swaziland and the government of the People's Republic of Mozambique relative to the establishment of a tripartite permanent technical committee,17/02/1983,Mozanbique  South Africa  Swaziland,Water Quantity
Maputo,Mozambique,Agreement between the government of the Republic of South Africa  the government of the Kingdom of Swaziland and the government of the People's Republic of Mozambique relative to the establishment of a tripartite permanent technical committee,17/02/1983,Mozanbique  South Africa  Swaziland,Water Quantity
Zambezi,Mozambique,Agreement between the government of the United Kingdom of Great Britain and Northern Ireland on their own behalf and on behalf of the government of the Federation of Rhodesia and Nyasaland and the government of Portugal with regard to certain Angolan and Northern Rhodesian natives living on the Kwando  River,18/11/1954,Portugal  Great Britain,Water Quantity
Unknown,Myanmar (Burma),Agreement between the Government of the Union of Burma and the Government of the Islamic Republic of Pakistan on the Demarcation of a Fixed Boundary between the two countries in the Naaf River,09/05/1966,Union of Burma  Islamic Republic of Pakistan,N.A.
Mekong,Myanmar (Burma),Agreement on Providing the Hydrologic Data during Flood Season,01/04/2002,Cambodia  China  Lao PDR Thailand  Vietnam,N.A.
Mekong,Myanmar (Burma),Commercial navigation on the Lancand-Mekong River,26/06/2001,China  Laos  Myanmar  Thailand,N.A.
Kunene,Namibia,Agreement In Regard To The Development And Utilization Of The Water Potential Of The Kunene River. 18 September  1990,18/09/1990,Angola  Namibia,N.A.
Unknown,Namibia,Agreement On General Cooperation And The Creation Of The Angolan-Namibian Joint Commission Of Cooperation. 18 September  1990,18/09/1990,Angola  Namibia,N.A.
Orange,Namibia,Agreement Between the Governments of the Republic of Botswana the Kingdom of Lesotho the Republic of Namibia and the Republic of South Africa on the Establishment of the Orange-Senqu Commission. Windhoek  3 November  2000,03/11/2000,Botswana  Lesotho  Namibia  South Africa,N.A.
Okavango,Namibia,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Orange,Namibia,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Zambezi,Namibia,Agreement Between the Government of Botswana and the Republic of Namibia on the Establishment of a Joint Water Commission. Windhoek  13 November  1990,13/11/1990,Botswana  Namibia,N.A.
Zambezi,Namibia,Agreement on the Establishment of the Zambezi Watercourse Commission,13/07/2004,N.A.,N.A.
Orange,Namibia,Agreement on the Vioolsdrift and Noordoewer Joint Irrigation Scheme Between the Government of the Republic of South Africa and the Government of the Republic of Namibia. Pretoria  26 April  1993,26/04/1992,Namibia  South Africa,N.A.
Zambezi,Namibia,Exchange of notes between the Union of South Africa and Northern Rhodesia regarding the Eastern Boundary between the Caprivi Strip and Northern Rhodesia and the grant of privileges to Northern Rhodesia natives on the Caprivi Islands. Pretoria and Cape Town  25 July 1933,25/07/1933,Northern Rhodesia  South Africa,Border Issues  Fishing
Unknown,Namibia,Agreement between the government of the Republic of South Africa and the government of the Republic of Namibia on water related matters pertaining to the incorporation of Walvis Bay in the territory of the Republic of Namibia,01/03/1994,Namibia  South Africa,Flood control/relief  Territorial Issues  Water Quantity
Kunene,Namibia,Agreement between South Africa and Portugal regulating the use of the water of the Cunene River,01/07/1926,South Africa  Portugal ,Hydro-power/Hydro-electricity
General,Namibia,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
General,Namibia,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
General,Namibia,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Okavango,Namibia,Agreement between the governments of the Republic of Angola  the Republic of Botswana  and the Republic of Namibia on the establishment of a permanent Okavango River Basin Water Commission (OKACOM),16/09/1994,Angola  Botswana  Namibia,Water Quantity
Orange,Namibia,Agreement between the government of the Republic of Namibia and the government of the Republic of South Africa on the establishment of a permanent water commission,14/09/1992,Namibia  South Africa,Water Quantity
Kunene,Namibia,Exchange of notes... respecting the boundary between the mandated territory of South Africa and Angola,29/04/1931,Portugal  South Africa,Water Quantity
Kunene,Namibia,Agreement between the government of the Republic of South Africa and the government of Portugal in regard to the first phase of development of the water resource of the Cunene River Basin,21/01/1969,Portugal  South Africa,Water Quantity
Ganges-Brahmaputra-Meghna,Nepal,Treaty between His Majesty's government of Nepal and the government of India concerning the integrated development of the Mahakali River including Sarada Barrage  Tanakpur Barrage  and Pancheshwar Project,12/02/1996,India  Nepal,Flood control/relief  Water Quantity  Hydro-power/Hydro-electricity
Ganges-Brahmaputra-Meghna,Nepal,Agreement between the government of India and the government of Nepal on the Kosi project,25/04/1954,India  Nepal,Hydro-power/Hydro-electricity
Ganges-Brahmaputra-Meghna,Nepal,Amended agreement between His Majesty's government of Nepal and the government of India concerning the Kosi Project,19/12/1966,India  Nepal,Hydro-power/Hydro-electricity
Ganges-Brahmaputra-Meghna,Nepal,Agreement between Nepal and India on the renovation and extension of Chandra Canal  Pumped Canal  and distribution of the Western Kosi Canal,07/04/1978,India  Nepal,Water Quantity
Ganges-Brahmaputra-Meghna,Nepal,Agreement between His Majesty's government of Nepal and the government of India on the Gandak Irrigation and Power Project,04/12/1959,India  Nepal,Water Quantity  Hydro-power/Hydro-electricity
Unknown,Netherlands,Treaty between the Flemish Region and the Netherlands concerning water supply from the River Meuse,23/05/1905,Flemish Region  Netherlands,N.A.
Rhine-Meuse,Netherlands,Agreement on the International Commision for the protection of the Rhine against pollution,29/04/1963,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,N.A.
Rhine-Meuse,Netherlands,Convention on the Protection of the Rhine,12/04/1999,Germany  France  Luxembourg  Netherlands  Swiss Confederation ,N.A.
Unknown,Netherlands,Treaty between the Kingdom of the Netherlands and the Kingdom of Belgium concerning the connexion between the Scheldt and the Rhine,13/05/1963,Netherlands  Belgium,N.A.
Rhine-Meuse,Netherlands,Treaty of Limits Between France and the Netherlands concluded at Courtray,3/28/1820,France  Netherlands,Border Issues
Schelde,Netherlands,Treaty of Limits Between France and the Netherlands concluded at Courtray,3/28/1820,France  Netherlands,Border Issues
Rhine-Meuse,Netherlands,Treaty between the Kingdom of the Netherlands and the Federal Republic of Germany concerning the course of the common frontier  the boundary waters  real property situated near the frontier  traffic crossing the frontier on land and via inland waters  and other frontier questions (Frontier Treaty),08/04/1960,Germany  Federal Republic of  Netherlands,Border Issues
Unknown,Netherlands,Treaty between Germany and the Netherlands on arrangements for co-operation in the Ems estuary (Ems-Dollard Treaty),N.A.,Germany  Netherlands,N.A.
Rhine-Meuse,Netherlands,Convention on the protection of the Rhine against chemical pollution,03/12/1976,European Economic Community  France  Germany  Federal Republic of  Luxembourg  Netherlands  Seitzerland,Water Quality
Rhine-Meuse,Netherlands,Convention on the protection of the Rhine against pollution by chlorides (with annexes and exchanges of letters dated 1983)  concluded at Bonn,03/12/1976,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,Water Quality
Rhine-Meuse,Netherlands,Additional protocol to the convention on the protection of the Rhine against pollution from chlorides,25/09/1991,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,Water Quality
Rhine-Meuse,Netherlands,Convention on the protection of the Rhine,22/01/1998,France  Luxembourg  German Fed. Rep.  Switzerland  Netherlands  European Union,Water Quality
Rhine-Meuse,Netherlands,Agreement on the protection of the Meuse,26/04/1994,Brussels Capital Region  France  Flemish Region  Netherlands  Wallon Region,Water Quality  Joint Management
Schelde,Netherlands,Agreement on the protection of the Scheldt,26/04/1994,Brussels Capital Region  France  Flemish Region  Netherlands  Wallon Region,Water Quality  Joint Management
Rhine-Meuse,Netherlands,International treaty for the Meuse,02/12/2002,Germany  Belgium  France  Luxembourg  Netherlands,Water Quality  Joint Management
Rhine-Meuse,Netherlands,Convention concerning the collection  storage  and discharge of waste from ships navigating along the Rhine and other inland waters,09/09/1996,Belgium  France  Germany  Luxembourg  Netherlands  Switzerland,Water Quality  Navigation
Rhine-Meuse,Netherlands,Exchange of notes constituting an agreement concerning the treaty of 12 May 1863 to regulate the diversion of water from the River Meuse and the convention of 11 January 1873 amending that treaty,24/02/1961,Belgium  Nethrlands,Water Quantity
Rhine-Meuse,Netherlands,Treaty for the regulation of water withdrawal from the Meuse  followed by an explanatory note  signed at the Hague,5/12/1863,Belgium  Nethrlands,Water Quantity  Infrastructure/Development
Rhine-Meuse,Netherlands,Convention for the modification of article 6 of the Treaty of 12 May 1863  regulating water withdrawal from the Meuse  followed by a declaration,1/1/1873,Belgium  Nethrlands,Water Quantity  Irrigation
General,Netherlands,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Rhine-Meuse,Netherlands,Revised convention relating to the navigation of the Rhine,10/17/1868,Belgium  Germany  France  Netherlands  Switzerland  UK and Northern Ireland,N.A.
General,Nicaragua,Comite' Coordinador Regional de Inistituciones de Agua Potable y Saneamiento de Centroamerica  Panama' y Republica Dominicana (CAPRE),01/05/1979,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama  Dominican Republic,N.A.
San Juan,Nicaragua,Award of the President of the United States on the validity of the treaty of limits of 15 April 1858 between Costa Rica and Nicaragua,3/22/1888,Costa Rica  Nicaragua,Navigation
General,Nicaragua,Agreement for the creation of the regional coordinating committee of potable water and sanitation institutions of Central America  Panama  and the Dominican Republic (CAPRE),23/10/1989,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama,Water Quality  Technical Cooperation/Assistance
Niger,Niger,"Agreement concerning the Niger River Commission and the navigation and transport on the River Niger. Done at Niamey  on 25 November 1964."" Amendment to article 2 of the above said agreement",14/03/1969,Benin  Cameroon  Chad  Ivory Coast  Guinea  Mali  Niger  Nigeria  Burkina Faso,N.A.
Niger,Niger,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger. Done at Niamey  on 25 November 1964 [Rectification]. Niamey  15 May  1968,15/05/1968,Cameroon  Cote d'Ivoire  Dahomey  Guinea  Upper Volta  Mali  Niger  Nigeria  Chad,N.A.
Lake Chad,Niger,Agreement establishing the Lake Chad basin Commission development fund. Yaounde  22 October  1972,22/10/1972,Cameroun  Chad  Niger  Nigeria,N.A.
Niger,Niger,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger Revised on 2nd February  1968 and 15th June  1973,15/06/1973,Niger  Benin  Chad  Guinea  Cote d'Ivoire  Mali  Nigeria  Cameroon  Upper Volta,N.A.
Niger,Niger,Protocole d'accord entre la R���publique du Niger et la R���publique du Mali relatif ��� la r���alisation des barrages de Taoussa au Mali et de Kandadji au Niger,06/06/2004,Niger  Mali,N.A.
Unknown,Niger,Protocol to the Agreement to Establish a Commission for the Koma-Dogou-Yobe. 22 December  1973,22/12/1973,Nigeria  Niger,N.A.
Niger,Niger,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Niger,Convention creating the Niger Basin Authority,21/11/1980,Benin  Cameroon  Chad  Cote D'Ivoire  Revolutionaly People's Republic of Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Niger,Niger,Act regarding navigation and economic co-operation between the states of the Niger Basin,26/10/1963,Cameroon  Chad  Cote D'lvoire  Dahomey  Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Lake Chad,Niger,Convention and statutes relating to the development of the Chad Basin,22/05/1964,Cameroon  Chad  Niger  Nigeria,Economic Development
Niger,Niger,Agreement concerning the River Niger Commission and the navigation and transport on the River Niger,25/11/1964,Repulic of  Dahomey (Benin)  Cameroon  Chad  Cote D'Ivoire  Guinea  Mali  Niger  Nigeria  Republic of Upper Volta (Burkina Faso),Economic Development
Niger,Niger,Agreement between the Republic of Niger and the Republic of Benin relative to the realization of the hydroelectric management of the Dyondyonga site on the M���krou river  signed at Contonou,14/01/1999,Benin  Niger,Hydro-power/Hydro-electricity
Niger,Niger,Revised financial procedures of the Niger Basin Authority  done at Ndjamena,27/10/1987,Algeria  Benin  Cameroon  Chad  Guinea  Cote D'Ivoire  Mali  Niger  Nigeria  Burkina Faso,Joint Management
Niger,Niger,Protocol of the agreement between the Republic of Niger and the Republic of Mali relative to cooperation in the utilization of resources in water of the Niger river,12/07/1988,Mali  Niger,Joint Management
Niger,Niger,Revised convention pertaining to the creation of the Niger Basin Authority  signed at N'Djamena,29/10/1987,Benin  Burkina Fano  Cameroon  Cote D'lvoire  Guinea  Mali  Niger  Nigeria  Chad,Joint Management  Economic Development
Lake Chad,Niger,Accord pertaining to the creation of funds for the development of the Chad Basin Commission,10/10/1973,Cameroon  Chad  Niger  Nigeria,Joint Management  Economic Development
General,Niger,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Niger,Niger,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Niger,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Niger,Niger,Agreement between the Federal Republic of Nigeria and the Republic of Niger concerning the equitable sharing in the development  conservation and use of their common water resources,18/07/1990,Niger  Nigeria,Water Quantity
Niger,Nigeria,"Agreement concerning the Niger River Commission and the navigation and transport on the River Niger. Done at Niamey  on 25 November 1964."" Amendment to article 2 of the above said agreement",14/03/1969,Benin  Cameroon  Chad  Ivory Coast  Guinea  Mali  Niger  Nigeria  Burkina Faso,N.A.
Niger,Nigeria,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger. Done at Niamey  on 25 November 1964 [Rectification]. Niamey  15 May  1968,15/05/1968,Cameroon  Cote d'Ivoire  Dahomey  Guinea  Upper Volta  Mali  Niger  Nigeria  Chad,N.A.
Lake Chad,Nigeria,Agreement establishing the Lake Chad basin Commission development fund. Yaounde  22 October  1972,22/10/1972,Cameroun  Chad  Niger  Nigeria,N.A.
Niger,Nigeria,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger Revised on 2nd February  1968 and 15th June  1973,15/06/1973,Niger  Benin  Chad  Guinea  Cote d'Ivoire  Mali  Nigeria  Cameroon  Upper Volta,N.A.
Unknown,Nigeria,Protocol to the Agreement to Establish a Commission for the Koma-Dogou-Yobe. 22 December  1973,22/12/1973,Nigeria  Niger,N.A.
Niger,Nigeria,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Oueme,Nigeria,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Nigeria,Convention creating the Niger Basin Authority,21/11/1980,Benin  Cameroon  Chad  Cote D'Ivoire  Revolutionaly People's Republic of Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Niger,Nigeria,Act regarding navigation and economic co-operation between the states of the Niger Basin,26/10/1963,Cameroon  Chad  Cote D'lvoire  Dahomey  Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Lake Chad,Nigeria,Convention and statutes relating to the development of the Chad Basin,22/05/1964,Cameroon  Chad  Niger  Nigeria,Economic Development
Niger,Nigeria,Agreement concerning the River Niger Commission and the navigation and transport on the River Niger,25/11/1964,Repulic of  Dahomey (Benin)  Cameroon  Chad  Cote D'Ivoire  Guinea  Mali  Niger  Nigeria  Republic of Upper Volta (Burkina Faso),Economic Development
Niger,Nigeria,Revised financial procedures of the Niger Basin Authority  done at Ndjamena,27/10/1987,Algeria  Benin  Cameroon  Chad  Guinea  Cote D'Ivoire  Mali  Niger  Nigeria  Burkina Faso,Joint Management
Niger,Nigeria,Revised convention pertaining to the creation of the Niger Basin Authority  signed at N'Djamena,29/10/1987,Benin  Burkina Fano  Cameroon  Cote D'lvoire  Guinea  Mali  Niger  Nigeria  Chad,Joint Management  Economic Development
Lake Chad,Nigeria,Accord pertaining to the creation of funds for the development of the Chad Basin Commission,10/10/1973,Cameroon  Chad  Niger  Nigeria,Joint Management  Economic Development
General,Nigeria,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Niger,Nigeria,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Nigeria,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Niger,Nigeria,Agreement between the Federal Republic of Nigeria and the Republic of Niger concerning the equitable sharing in the development  conservation and use of their common water resources,18/07/1990,Niger  Nigeria,Water Quantity
Unknown,Norway,Agreement on joint rules for the River Tana fishing area between Finland and Norway,11/06/1905,Finland  Norway,N.A.
Naatamo,Norway,Agreement on a Finnish-Norwegian Transboundary Water Commission,05/11/1980,Finland  Norway,N.A.
Pasvik,Norway,Agreement on a Finnish-Norwegian Transboundary Water Commission,05/11/1980,Finland  Norway,N.A.
Tana,Norway,Agreement on a Finnish-Norwegian Transboundary Water Commission,05/11/1980,Finland  Norway,N.A.
Torne/Tornealven,Norway,Agreement on a Finnish-Norwegian Transboundary Water Commission,05/11/1980,Finland  Norway,N.A.
Unknown,Norway,Agreement between Norway and the Russian Federation concerning water abstraction by Norway from the upper Reservoir of the Borisoglebsk Hydropower plant at the transboundary river Pasvik,29/05/1905,Norway  Russian Federation,N.A.
Glama,Norway,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Klaralven,Norway,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Torne/Tornealven,Norway,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Pasvik,Norway,Protocol concerning amendments to the Regulations of 24 April 1947 for the regulation of Lake Inari in connexion with the use of the Niskakoski Dam and the Protocol of 29 April 1954 concerning amendments to paragraph 2 of the said Regulations  signed at Oslo,24/02/1956,Finland  Norway  Soviet Union,Flood control/relief  Water Quantity
Pasvik,Norway,Agreement between the government of the Union of Soviet Socialist Republics  the government of Norway and the government of Finland concerning the regulation of Lake Inari by means of the Kaitakoski hydro-electric power station and dam and additional protocol,29/04/1959,Finland  Norway  Soviet Union,Flood control/relief  Water Quantity
Pasvik,Norway,Agreement between Norway and Finland concerning the construction and maintenance of a bridge across the Anarjokka (Inarijoki) River.  Signed at Helsinki  on June 28  1957,28/06/1957,Finland  Norway,Infrastructure/Development
Tana,Norway,Agreement between Norway and Finland concerning the construction and maintenance of a bridge across the Anarjokka (Inarijoki) River.  Signed at Helsinki  on June 28  1957,28/06/1957,Finland  Norway,Infrastructure/Development
Pasvik,Norway,Convention between Norway and Finland concerning the international legal regime of the waters of the Pasvik (Paatsjoki) and the Jakobselv (Vuoremajoki),14/02/1925,Finland  Norway,Water Quantity
Naatamo,Norway,Agreement between Finland and Norway on the transfer from the course of the N������t���mo (Neiden) River to the course of the Gandvik River of water from the Garsjoen  Kjerringvatn and Forstevannene Lakes,25/04/1951,Finland  Norway,Water Quantity
Pasvik,Norway,Agreement between Norway and the Union of Soviet Socialist Republics on the utilization of water power on the Pasvik (Paatso) River,18/12/1957,Norway  Soviet Union,Water Quantity  Hydro-power/Hydro-electricity
Unknown,Pakistan,Boundary Agreement Between Iran and Pakistan  with Exchange of Notes,06/02/1958,Iran  Pakistan,N.A.
